City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,port alfred,-33.5906,26.891,67.17,90,50,5.01,ZA,1707857178
168,lucapa,-8.4192,20.7447,69.73,90,93,1.07,AO,1707857178
169,calipatria,33.1256,-115.5142,68.49,21,59,2.13,US,1707857178
170,necocli,8.4234,-76.786,84.79,72,99,11.32,CO,1707857178
171,corinto,37.9407,22.9573,51.98,79,16,4.61,GR,1707857178
172,sungailiat,-1.85,106.1333,79.77,85,98,7.61,ID,1707857178
173,isanlu-itedoijowa,8.2667,5.8333,88.12,21,25,1.34,NG,1707857179
174,giyani,-23.3025,30.7187,76.41,49,0,2.82,ZA,1707857179
175,sisimiut,66.9395,-53.6735,-5.73,75,0,12.08,GL,1707857179
176,richards bay,-28.783,32.0377,71.24,82,0,8.37,ZA,1707857179
177,jabor,5.921,169.6434,81.72,78,62,17.65,MH,1707857179
178,champerico,14.3,-91.9167,97.34,60,4,12.33,GT,1707857179
179,andijon,40.7821,72.3442,43.88,57,79,2.26,UZ,1707857179
180,miyaly,48.8844,53.7836,33.03,100,100,0.89,KZ,1707857180
181,auki,-8.7676,160.7034,79.97,86,91,10.31,SB,1707857180
182,jean-rabel,19.8533,-73.1917,82.04,62,2,9.44,HT,1707857180
183,tabou,4.423,-7.3528,81.7,86,12,8.32,CI,1707857180
184,gamboula,4.1178,15.1393,78.26,26,31,3.31,CF,1707857180
185,viana do castelo,41.6932,-8.8329,59.77,94,99,8.41,PT,1707857180
186,togitsu,32.8333,129.85,50.99,87,100,6.38,JP,1707857180
187,hola,51.5377,23.1902,39.38,66,70,11.03,PL,1707857181
188,maragogi,-9.0122,-35.2225,81.25,76,100,6.24,BR,1707857181
189,waltrop,51.6333,7.4,47.25,75,0,10.36,DE,1707857181
190,kendari,-3.945,122.4989,77.77,88,100,2.51,ID,1707857181
191,doka,13.5167,35.7667,79.97,16,31,8.46,SD,1707857181
192,keflavik,64.0049,-22.5624,27.03,80,0,8.05,IS,1707857181
193,itaituba,-4.2761,-55.9836,82.56,78,75,4.61,BR,1707857181
194,sarmiento,-45.5882,-69.07,90.16,10,5,13.31,AR,1707857182
195,utrik,11.2278,169.8474,79.14,75,100,17.65,MH,1707857182
196,concepcion,-36.827,-73.0498,64.2,77,20,23.02,CL,1707856921
197,corcoran,36.098,-119.5604,62.58,51,44,4.5,US,1707857178
198,i-n-salah,27.1935,2.4607,73.47,32,0,12.17,DZ,1707857182
199,ancud,-41.8697,-73.8203,67.93,55,3,5.26,CL,1707857182
200,margate,51.3813,1.3862,51.69,94,100,14.0,GB,1707856898
201,la trinite,14.7376,-60.9629,84.25,65,20,14.97,MQ,1707857182
202,ar rumaythah,31.5263,45.2025,65.16,52,92,12.62,IQ,1707857182
203,arar,30.9753,41.0381,60.82,59,0,18.41,SA,1707857183
204,alice springs,-23.7,133.8833,72.95,64,0,0.0,AU,1707857183
205,acarau,-2.8856,-40.12,81.84,75,100,14.0,BR,1707857183
206,tofol,5.3248,163.0078,81.79,81,100,20.22,FM,1707857183
207,jampur,29.6441,70.5954,57.69,22,0,5.32,PK,1707857183
208,lokomotivnyy,53.0118,60.5684,20.41,86,92,11.99,RU,1707857183
209,alavus,62.5833,23.6167,17.51,90,98,15.01,FI,1707857183
210,perry,37.2506,-83.1999,50.18,63,25,8.59,US,1707856984
211,ayr,55.4627,-4.6339,38.32,87,20,3.44,GB,1707857184
212,cockburn town,21.4612,-71.1419,78.08,77,2,5.57,TC,1707856896
213,ibotirama,-12.1853,-43.2206,80.92,66,65,4.16,BR,1707857184
214,agat village,13.3886,144.6585,79.74,69,75,10.36,GU,1707857184
215,kapuskasing,49.4169,-82.4331,14.09,62,40,14.97,CA,1707857184
216,nueva guinea,11.6876,-84.4562,89.02,41,45,16.84,NI,1707857185
217,tra mhor,52.1624,-7.1524,51.1,84,100,9.22,IE,1707857185
218,santa cruz,-17.8,-63.1667,80.06,73,75,17.27,BO,1707857185
219,sooke,48.3746,-123.7276,48.24,76,68,11.5,CA,1707857042
220,felege neway,6.3,36.8833,67.86,74,100,0.45,ET,1707857185
221,khandyga,62.6667,135.6,-34.96,100,100,1.97,RU,1707857185
222,hermanus,-34.4187,19.2345,60.8,88,7,4.65,ZA,1707857185
223,bhabhua,25.05,83.6167,63.5,91,78,2.46,IN,1707857185
224,zeya,53.75,127.2667,-0.51,76,2,7.47,RU,1707857186
225,nkongsamba,4.9547,9.9404,72.72,77,100,0.69,CM,1707857186
226,trairi,-3.2778,-39.2689,80.51,80,76,7.7,BR,1707857033
227,brokopondo,4.75,-55.1667,87.82,57,82,6.76,SR,1707857186
228,santa terezinha,-29.9002,-50.0904,70.3,93,100,15.3,BR,1707857186
229,sao francisco,-15.9486,-44.8644,80.74,69,17,2.98,BR,1707857186
230,damaturu,11.747,11.9608,74.55,10,0,9.46,NG,1707857186
231,mvurwi,-17.0333,30.85,61.56,91,2,2.77,ZW,1707857186
232,tanjung sepat,2.6579,101.5629,80.74,80,20,6.91,MY,1707857187
233,susanville,40.4163,-120.653,44.82,61,100,1.01,US,1707856989
234,padang,-0.9492,100.3543,82.45,82,35,4.65,ID,1707857187
235,aasiaat,68.7098,-52.8699,-24.3,96,31,10.54,GL,1707857187
236,tolanaro,-25.0319,46.9987,75.27,100,75,13.8,MG,1707857187
237,novaya igirma,57.1334,103.9112,-1.16,95,100,5.17,RU,1707857187
238,marka,1.7159,44.7717,78.76,89,19,17.43,SO,1707857187
239,banda aceh,5.5577,95.3222,78.3,84,25,10.98,ID,1707857187
240,kupang,-10.1667,123.5833,79.38,100,100,2.3,ID,1707857188
241,puerto penasco,31.3167,-113.5333,64.38,68,0,5.75,MX,1707857189
242,campo grande,-20.4428,-54.6464,81.95,74,40,9.22,BR,1707857189
243,warmbad,-28.45,18.7333,81.21,21,45,14.81,,1707857189
244,glace bay,46.1969,-59.957,33.78,79,75,8.05,CA,1707857189
245,chernomorskoye,45.5039,32.6997,45.16,94,100,4.92,UA,1707857189
246,xiongzhou,25.1167,114.3,57.92,90,4,2.89,CN,1707857189
247,georgetown,5.4112,100.3354,82.33,80,20,6.91,MY,1707857182
248,quarai,-30.3875,-56.4514,75.24,53,100,13.73,BR,1707857190
249,tual,-5.6667,132.75,83.3,78,100,17.76,ID,1707857190
250,stanley,54.868,-1.6985,42.39,96,20,0.0,GB,1707857190
251,sabha,27.0377,14.4283,59.85,34,0,10.67,LY,1707857190
252,wagar,16.1525,36.2032,79.09,13,1,6.22,SD,1707857190
253,pontianak,-0.0333,109.3333,76.98,100,100,3.44,ID,1707857190
254,kerikeri,-35.2268,173.9474,66.9,87,10,4.99,NZ,1707857191
255,gebeit,21.0667,36.3167,66.42,47,0,1.39,SD,1707857191
256,riviere-du-loup,47.8304,-69.5342,23.88,63,28,3.44,CA,1707857191
257,galliano,29.4422,-90.2992,57.2,58,0,5.75,US,1707857191
258,bolivar,37.6145,-93.4105,59.59,44,0,14.81,US,1707857191
259,shetpe,44.1667,52.1167,51.06,50,100,10.31,KZ,1707857191
260,eyl,7.9803,49.8164,77.11,81,8,13.71,SO,1707857191
261,betong,5.7743,101.0723,70.92,97,39,2.77,TH,1707857191
262,dingras,18.1032,120.6967,71.35,78,20,4.61,PH,1707857192
263,tiruchchendur,8.4833,78.1167,78.8,82,26,16.08,IN,1707857192
264,santa elena de uairen,4.6167,-61.1333,80.89,51,75,5.1,VE,1707857192
265,port lincoln,-34.7333,135.8667,59.16,62,42,10.71,AU,1707857192
266,tazovsky,67.4667,78.7,-40.58,100,46,4.21,RU,1707857192
267,leninskoye,41.7589,69.3864,45.97,51,99,3.18,KZ,1707857192
268,queenstown,-31.8976,26.8753,63.79,80,19,3.53,ZA,1707857192
269,hornell,42.3279,-77.6611,38.61,77,99,8.01,US,1707856997
270,tazacorte,28.629,-17.9293,73.15,56,40,5.75,ES,1707857193
271,nyagan,62.1406,65.3936,-18.78,87,100,10.65,RU,1707857193
272,ar ruways,24.1103,52.7306,66.85,85,0,5.46,AE,1707857193
273,puerto colombia,10.9878,-74.9547,89.69,76,82,20.51,CO,1707857193
274,gulf shores,30.246,-87.7008,62.65,49,0,5.75,US,1707857193
275,puerto carreno,6.189,-67.4859,96.78,38,20,6.91,CO,1707857193
276,loreto,22.2667,-101.9667,67.55,33,100,22.79,MX,1707857193
277,yuzhno-kurilsk,44.0306,145.8556,32.38,87,0,4.18,RU,1707857194
278,oriximina,-1.7656,-55.8661,77.67,91,97,4.61,BR,1707857194
279,nguigmi,14.2495,13.1092,76.26,21,0,12.08,NE,1707857194
280,tralee,52.2704,-9.7026,49.66,99,100,5.19,IE,1707857194
281,al bawiti,28.3492,28.8659,57.69,37,67,8.08,EG,1707857194
282,kattivakkam,13.2167,80.3167,78.89,79,24,10.09,IN,1707857194
283,port sudan,19.6175,37.2164,75.47,76,0,5.17,SD,1707857194
284,nuku'alofa,-21.1333,-175.2,80.94,89,75,12.66,TO,1707857195
285,danao,10.5208,124.0272,77.05,80,14,10.94,PH,1707857195
286,wenchang,30.904,118.4887,52.56,75,6,4.18,CN,1707857195
287,enewetak,11.3474,162.3373,79.02,78,93,15.99,MH,1707857195
288,umluj,25.0213,37.2685,73.13,56,0,10.78,SA,1707857195
289,la'ie,21.6477,-157.9253,79.45,69,0,4.0,US,1707857195
290,namibe,-15.1961,12.1522,81.5,73,98,14.12,AO,1707857195
291,dimbokro,6.6451,-4.7048,86.49,64,56,6.64,CI,1707857196
292,crane,31.3974,-102.3501,66.18,16,23,15.46,US,1707857196
293,crateus,-5.1783,-40.6775,83.91,53,89,1.79,BR,1707857196
294,kapa'a,22.0752,-159.319,77.47,73,0,5.75,US,1707857196
295,al kharijah,25.4514,30.5464,61.47,26,1,8.43,EG,1707857196
296,da nang,16.0678,108.2208,71.58,83,75,1.14,VN,1707857196
297,katsuren-haebaru,26.3369,127.8719,72.37,72,75,18.41,JP,1707857197
298,buala,-8.145,159.5921,80.6,80,90,6.4,SB,1707857197
299,sarankhola,22.3082,89.7897,66.9,43,57,3.96,BD,1707857197
300,hamilton,39.1834,-84.5333,52.2,37,20,11.5,US,1707857036
301,souillac,-20.5167,57.5167,81.36,89,40,5.75,MU,1707857197
302,nanao,37.05,136.9667,45.18,72,10,10.2,JP,1707857198
303,selcuk,37.9514,27.3685,58.01,85,5,2.62,TR,1707857198
304,elliot,-31.3333,27.85,60.49,83,42,1.54,ZA,1707857198
305,hauterive,46.0901,3.4459,50.76,65,79,3.89,FR,1707857198
306,malpe,13.35,74.7167,76.3,81,63,2.95,IN,1707857198
307,balabac,7.9868,117.0645,79.83,80,100,18.5,PH,1707857198
308,megion,61.0296,76.1136,-17.99,94,100,13.73,RU,1707857198
309,baglung,28.2719,83.5898,51.28,35,92,5.84,NP,1707857199
310,prince rupert,54.3161,-130.3201,37.49,93,0,2.3,CA,1707857199
311,coquimbo,-29.9533,-71.3436,71.33,73,40,10.36,CL,1707857199
312,bikenibeu village,1.3673,173.1241,82.36,89,75,5.75,KI,1707857199
313,nelson bay,-32.7167,152.15,78.01,89,0,3.0,AU,1707857199
314,greenville,35.6127,-77.3663,60.96,45,40,6.91,US,1707857199
315,alta sierra,35.7291,-118.5495,45.1,46,94,5.61,US,1707857199
316,pisco,-13.7,-76.2167,84.25,54,0,17.27,PE,1707857081
317,kyenjojo,0.6328,30.6214,64.81,90,61,2.17,UG,1707857200
318,kayangel,8.0823,134.7173,80.35,75,6,24.11,PW,1707857200
319,berezovyy,51.6667,135.7,-3.23,98,88,2.77,RU,1707857200
320,mangai,-4.05,19.5333,76.5,85,96,2.24,CD,1707857200
321,kangaba,11.9333,-8.4167,85.77,9,0,4.9,ML,1707857200
322,itaueira,-7.6033,-43.0256,83.79,59,100,8.34,BR,1707857200
323,wuwei,37.9281,102.6414,26.53,31,100,2.66,CN,1707857201
324,lihue,21.9789,-159.3672,76.73,73,0,5.75,US,1707857201
325,alghero,40.5589,8.3181,48.29,93,20,1.14,IT,1707857201
326,chonchi,-42.6128,-73.8092,76.21,31,11,1.95,CL,1707857201
327,ardatov,55.2421,43.097,1.85,100,96,7.07,RU,1707857201
328,nushki,29.5542,66.0215,55.38,30,0,0.34,PK,1707857201
329,balcarce,-37.8462,-58.2552,67.82,54,0,3.0,AR,1707857201
330,parvatipuram,18.7833,83.4333,65.98,83,95,0.74,IN,1707857201
331,atafu village,-8.5421,-172.5159,81.0,86,100,24.58,TK,1707857202
332,coracora,-15.0333,-73.7833,59.07,76,84,9.8,PE,1707857202
333,kittila,67.6647,24.8936,-3.86,84,0,1.14,FI,1707857202
334,carutapera,-1.195,-46.02,76.28,93,100,3.36,BR,1707857202
335,taltal,-25.4,-70.4833,71.87,71,73,5.12,CL,1707857202
336,al lagowa,11.4,29.1333,83.35,12,100,11.88,SD,1707857202
337,al jawf,29.5,38.75,62.8,30,36,10.11,SA,1707857202
338,aleksandrov gay,50.147,48.5704,33.6,99,100,9.66,RU,1707857203
339,roma,43.2128,-75.4557,40.51,51,20,12.66,US,1707856916
340,bahir dar,11.5936,37.3908,68.88,29,5,4.29,ET,1707857203
341,remire-montjoly,4.9167,-52.2667,84.24,79,75,14.97,GF,1707857203
342,ca mau,9.1769,105.15,76.69,83,28,9.24,VN,1707857203
343,san pedro pochutla,15.7333,-96.4667,87.51,46,0,7.94,MX,1707857204
344,newman,37.3138,-121.0208,60.3,67,14,1.99,US,1707857204
345,portales,34.1862,-103.3344,59.32,31,0,10.33,US,1707857204
346,rio grande,-32.035,-52.0986,78.91,62,100,16.37,BR,1707857204
347,san carlos,9.6612,-68.5827,95.09,28,80,5.75,VE,1707857204
348,bria,6.5423,21.9863,82.42,20,29,5.01,CF,1707857204
349,inhambane,-23.865,35.3833,73.94,85,0,7.14,MZ,1707857204
350,pueblo nuevo,23.3833,-105.3833,64.2,26,91,8.7,MX,1707857205
351,nabire,-3.3667,135.4833,75.31,92,100,2.57,ID,1707857205
352,sucua,-2.4667,-78.1667,77.02,76,93,3.06,EC,1707857205
353,ketchikan,55.3422,-131.6461,40.33,70,0,12.66,US,1707857205
354,ribeira brava,32.65,-17.0667,68.63,66,100,7.99,PT,1707857205
355,san felipe,10.3399,-68.7425,86.34,54,83,8.75,VE,1707857205
356,porto novo,6.4965,2.6036,85.82,85,0,6.26,BJ,1707857056
357,jieshi,22.8134,115.8257,62.74,83,24,7.74,CN,1707857205
358,hithadhoo,-0.6,73.0833,83.05,80,100,14.72,MV,1707857207
359,wharton,29.3116,-96.1027,68.29,29,0,3.44,US,1707857207
360,maba,24.6841,113.5984,58.98,32,13,2.26,CN,1707857207
361,lexington,37.9887,-84.4777,53.6,44,40,8.05,US,1707857052
362,nova sintra,14.8667,-24.7167,68.74,76,0,12.57,CV,1707857207
363,malmesbury,-33.4608,18.7271,63.75,92,22,4.5,ZA,1707857207
364,grants,35.1473,-107.8514,53.83,20,0,11.5,US,1707857207
